headword,CEFR,CEFR_numeric,word_length,syllable_count,POS,frequency,POS_adjective,POS_adverb,POS_noun,POS_unknown,POS_verb
a,A1,1,1,1,noun,7.36,0,0,1,0,0
a.m./A.M./am/AM,A1,1,15,4,unknown,4.03,0,0,0,1,0
abandon,B1,3,7,3,noun,4.02,0,0,1,0,0
abandoned,B2,4,9,4,verb,4.4,0,0,0,0,1
ability,A2,2,7,4,noun,4.96,0,0,1,0,0
able,B1,3,4,2,adjective,5.43,1,0,0,0,0
abnormal,B1,3,8,3,adjective,3.71,1,0,0,0,0
abnormally,B2,4,10,4,adverb,3.07,0,1,0,0,0
aboard,B1,3,6,2,adverb,4.14,0,1,0,0,0
abolish,B2,4,7,3,verb,3.48,0,0,0,0,1
aboriginal,B2,4,10,5,noun,3.78,0,0,1,0,0
aborigine,B1,3,9,5,noun,2.11,0,0,1,0,0
about,A1,1,5,2,adjective,6.4,1,0,0,0,0
above,B1,3,5,3,noun,5.2,0,0,1,0,0
above,A1,1,5,3,noun,5.2,0,0,1,0,0
abroad,A2,2,6,2,adjective,4.39,1,0,0,0,0
abruptly,B2,4,8,3,adverb,3.56,0,1,0,0,0
absence,B1,3,7,3,noun,4.34,0,0,1,0,0
absent,B1,3,6,2,verb,3.98,0,0,0,0,1
absentee,B2,4,8,3,noun,3.17,0,0,1,0,0
absolute,B1,3,8,4,noun,4.54,0,0,1,0,0
absolutely,B1,3,10,5,adverb,4.98,0,1,0,0,0
absorb,B1,3,6,2,verb,3.81,0,0,0,0,1
abstract,B1,3,8,2,noun,4.14,0,0,1,0,0
absurd,B2,4,6,2,noun,3.95,0,0,1,0,0
abundance,B1,3,9,4,noun,3.86,0,0,1,0,0
abundant,B1,3,8,3,adjective,3.77,1,0,0,0,0
abuse,B2,4,5,3,noun,4.66,0,0,1,0,0
academic,B1,3,8,4,noun,4.57,0,0,1,0,0
academy,B1,3,7,4,noun,4.57,0,0,1,0,0
accent,B1,3,6,2,noun,4.14,0,0,1,0,0
accept,A2,2,6,2,verb,4.85,0,0,0,0,1
acceptable,A2,2,10,4,adjective,4.27,1,0,0,0,0
acceptance,B1,3,10,4,noun,4.16,0,0,1,0,0
access,B1,3,6,2,noun,5.05,0,0,1,0,0
access,B2,4,6,2,noun,5.05,0,0,1,0,0
accessibility,B2,4,13,6,noun,3.51,0,0,1,0,0
accessible,B1,3,10,4,adjective,4.18,1,0,0,0,0
accessory,B1,3,9,4,noun,3.63,0,0,1,0,0
accident,A2,2,8,3,noun,4.71,0,0,1,0,0
accidental,B1,3,10,4,noun,3.82,0,0,1,0,0
accidentally,B1,3,12,5,adverb,4.22,0,1,0,0,0
accommodation,B2,4,13,5,noun,4.06,0,0,1,0,0
accompany,B1,3,9,4,verb,3.81,0,0,0,0,1
accomplish,B1,3,10,3,verb,4.05,0,0,0,0,1
according to,B1,3,12,4,unknown,5.28,0,0,0,1,0
accordingly,B2,4,11,4,adverb,4.02,0,1,0,0,0
account,A2,2,7,2,noun,5.21,0,0,1,0,0
account,B1,3,7,2,noun,5.21,0,0,1,0,0
accountant,B1,3,10,3,noun,3.76,0,0,1,0,0
accumulate,B2,4,10,5,verb,3.48,0,0,0,0,1
accuracy,B1,3,8,4,noun,4.24,0,0,1,0,0
accurate,B1,3,8,4,adjective,4.57,1,0,0,0,0
accurately,B1,3,10,5,adverb,3.99,0,1,0,0,0
accusation,B2,4,10,4,noun,3.6,0,0,1,0,0
accuse,B1,3,6,3,verb,3.71,0,0,0,0,1
accustom,B1,3,8,3,verb,2.06,0,0,0,0,1
ache,B1,3,4,1,noun,3.43,0,0,1,0,0
ache,B2,4,4,1,noun,3.43,0,0,1,0,0
achievable,B2,4,10,4,adjective,3.21,1,0,0,0,0
achieve,A2,2,7,3,verb,4.57,0,0,0,0,1
achievement,B1,3,11,4,noun,4.36,0,0,1,0,0
acid,B2,4,4,2,noun,4.45,0,0,1,0,0
acknowledge,B1,3,11,4,verb,4.18,0,0,0,0,1
acknowledgment/acknowledgement,B1,3,30,9,unknown,2.9,0,0,0,1,0
acquaintance,B1,3,12,4,noun,3.55,0,0,1,0,0
acquire,B1,3,7,3,verb,4.13,0,0,0,0,1
acquisition,B2,4,11,4,noun,4.26,0,0,1,0,0
across,A2,2,6,2,adverb,5.25,0,1,0,0,0
act,A2,2,3,1,noun,5.3,0,0,1,0,0
act,B1,3,3,1,noun,5.3,0,0,1,0,0
action,A1,1,6,2,noun,5.25,0,0,1,0,0
active,B1,3,6,3,noun,4.93,0,0,1,0,0
actively,B2,4,8,4,adverb,4.23,0,1,0,0,0
activity,A1,1,8,4,noun,4.86,0,0,1,0,0
actor,A1,1,5,2,noun,4.65,0,0,1,0,0
actress,B1,3,7,2,noun,4.45,0,0,1,0,0
actual,B2,4,6,2,adjective,4.85,1,0,0,0,0
actually,A2,2,8,3,adverb,5.49,0,1,0,0,0
acute,B2,4,5,3,noun,4.0,0,0,1,0,0
ad,B1,3,2,1,noun,4.76,0,0,1,0,0
adapt,B1,3,5,2,verb,3.98,0,0,0,0,1
adaptable,B2,4,9,4,adjective,3.12,1,0,0,0,0
add,A1,1,3,1,noun,5.09,0,0,1,0,0
addict,B2,4,6,2,noun,3.68,0,0,1,0,0
addicted,B2,4,8,3,verb,3.82,0,0,0,0,1
addiction,B2,4,9,3,noun,4.14,0,0,1,0,0
addition,A2,2,8,3,noun,5.01,0,0,1,0,0
additional,A2,2,10,4,adjective,4.98,1,0,0,0,0
additionally,B2,4,12,5,adverb,4.2,0,1,0,0,0
address,A1,1,7,2,noun,4.91,0,0,1,0,0
address,B1,3,7,2,noun,4.91,0,0,1,0,0
addressee,B1,3,9,3,noun,2.34,0,0,1,0,0
adequate,B2,4,8,4,adjective,4.05,1,0,0,0,0
adequately,B2,4,10,5,adverb,3.64,0,1,0,0,0
adjective,A2,2,9,4,noun,3.34,0,0,1,0,0
adjust,A2,2,6,2,verb,4.07,0,0,0,0,1
adjustment,B2,4,10,3,noun,3.88,0,0,1,0,0
administration,B1,3,14,5,noun,4.93,0,0,1,0,0
administrative,B2,4,14,6,adjective,4.45,1,0,0,0,0
admirable,B2,4,9,4,adjective,3.48,1,0,0,0,0
admiration,B1,3,10,4,noun,3.59,0,0,1,0,0
admire,A2,2,6,3,verb,3.97,0,0,0,0,1
admiringly,B2,4,10,4,adverb,2.05,0,1,0,0,0
admission,B1,3,9,3,noun,4.15,0,0,1,0,0
admit,A2,2,5,2,verb,4.58,0,0,0,0,1
admittedly,B2,4,10,4,adverb,3.54,0,1,0,0,0
adopt,B1,3,5,2,verb,4.19,0,0,0,0,1
adopted,B2,4,7,3,verb,4.51,0,0,0,0,1
adoption,B2,4,8,3,noun,4.17,0,0,1,0,0
adorable,B1,3,8,4,adjective,4.06,1,0,0,0,0
adore,B2,4,5,3,verb,3.7,0,0,0,0,1
adorn,B2,4,5,2,verb,3.01,0,0,0,0,1
adult,A2,2,5,2,noun,4.8,0,0,1,0,0
advance,B2,4,7,3,noun,4.65,0,0,1,0,0
advance,B1,3,7,3,noun,4.65,0,0,1,0,0
advanced,A2,2,8,3,verb,4.71,0,0,0,0,1
advancement,B2,4,11,4,noun,3.81,0,0,1,0,0
advantage,A2,2,9,4,noun,4.78,0,0,1,0,0
advent,B2,4,6,2,noun,3.67,0,0,1,0,0
adventure,A2,2,9,4,noun,4.46,0,0,1,0,0
adventurous,B2,4,11,4,adjective,3.48,1,0,0,0,0
adverb,B1,3,6,2,noun,2.55,0,0,1,0,0
adverbial,B1,3,9,3,noun,2.13,0,0,1,0,0
adverse,B2,4,7,3,adjective,3.89,1,0,0,0,0
adversely,B2,4,9,4,adverb,3.27,0,1,0,0,0
adversity,B2,4,9,4,noun,3.38,0,0,1,0,0
advert,B1,3,6,2,noun,3.46,0,0,1,0,0
advertise,B1,3,9,4,verb,3.66,0,0,0,0,1
advertisement,A2,2,13,5,noun,3.84,0,0,1,0,0
advertising,A2,2,11,4,noun,4.54,0,0,1,0,0
advice,A2,2,6,3,noun,4.88,0,0,1,0,0
advise,A2,2,6,3,verb,4.09,0,0,0,0,1
adviser/advisor,B1,3,15,6,unknown,3.67,0,0,0,1,0
aerobics,B1,3,8,3,noun,2.75,0,0,1,0,0
affair,A2,2,6,2,noun,4.3,0,0,1,0,0
affect,B1,3,6,2,noun,4.59,0,0,1,0,0
affection,B1,3,9,3,noun,3.92,0,0,1,0,0
affectionate,B2,4,12,5,adjective,3.35,1,0,0,0,0
affectionately,B2,4,14,6,adverb,3.11,0,1,0,0,0
afford,B1,3,6,2,verb,4.57,0,0,0,0,1
affordable,B2,4,10,4,adjective,4.22,1,0,0,0,0
afraid,A1,1,6,2,adjective,4.7,1,0,0,0,0
after,A2,2,5,2,adjective,6.11,1,0,0,0,0
after,B1,3,5,2,adjective,6.11,1,0,0,0,0
after,A1,1,5,2,adjective,6.11,1,0,0,0,0
afternoon,A1,1,9,3,noun,4.72,0,0,1,0,0
afterward,B1,3,9,3,adverb,3.83,0,1,0,0,0
afterwards,B1,3,10,3,adverb,4.42,0,1,0,0,0
again,A1,1,5,2,adverb,5.7,0,1,0,0,0
against,A2,2,7,2,unknown,5.68,0,0,0,1,0
age,A1,1,3,2,noun,5.32,0,0,1,0,0
aged,A2,2,4,2,noun,4.5,0,0,1,0,0
ageless,B2,4,7,3,adjective,2.69,1,0,0,0,0
agency,A2,2,6,3,noun,4.87,0,0,1,0,0
agenda,B1,3,6,3,noun,4.3,0,0,1,0,0
agent,A2,2,5,2,noun,4.81,0,0,1,0,0
aggressive,B1,3,10,4,adjective,4.32,1,0,0,0,0
aggressively,B2,4,12,5,adverb,3.63,0,1,0,0,0
ago,A1,1,3,2,adjective,5.42,1,0,0,0,0
agonize/agonise,B2,4,15,8,unknown,1.35,0,0,0,1,0
agony,B2,4,5,3,noun,3.6,0,0,1,0,0
agree,A1,1,5,2,verb,4.97,0,0,0,0,1
agreement,B1,3,9,3,noun,4.88,0,0,1,0,0
agricultural,B1,3,12,5,adjective,4.34,1,0,0,0,0
agriculture,B1,3,11,5,noun,4.37,0,0,1,0,0
ahead,A2,2,5,2,adjective,5.01,1,0,0,0,0
aid,B1,3,3,1,noun,4.75,0,0,1,0,0
aim,B1,3,3,1,noun,4.51,0,0,1,0,0
aim,B2,4,3,1,noun,4.51,0,0,1,0,0
air,A2,2,3,1,noun,5.37,0,0,1,0,0
air conditioning,B1,3,16,5,unknown,3.88,0,0,0,1,0
air force,B1,3,9,3,unknown,4.99,0,0,0,1,0
aircraft,B2,4,8,2,noun,4.64,0,0,1,0,0
aircrew,B2,4,7,2,noun,2.5,0,0,1,0,0
airline,B1,3,7,3,noun,4.04,0,0,1,0,0
